Year,SP500,3Month,10Yr,10YrRate,Baa Corporate,Real Estate,Gold,REIT,Inflation$,USGDP%,PE,CAPE
1987,0.0581,0.0578,-0.0496,0.0867,0.0281,0.0785,0.2453,-0.0364,0.037,0.060176,14.02,13.89833668
1988,0.1654,0.0667,0.0822,0.0909,0.1438,0.0722,-0.1526,0.1349,0.041,0.0785183,11.82,15.08807244
1989,0.3148,0.0811,0.1769,0.0821,0.1595,0.0439,-0.0284,0.0884,0.048,0.0773698,15.13,17.04884361
1990,-0.0306,0.075,0.0624,0.0809,0.0628,-0.0069,-0.0311,-0.1535,0.054,0.0569989,15.35,15.60619012
1991,0.3023,0.0538,0.15,0.0703,0.1893,-0.0017,-0.0856,0.357,0.042,0.0326984,25.93,19.77306821
1992,0.0749,0.0343,0.0936,0.066,0.1131,0.0082,-0.0573,0.1459,0.03,0.0588162,22.5,20.3234108
1993,0.0997,0.03,0.1421,0.0575,0.1547,0.0216,0.1768,0.1965,0.03,0.0518735,21.34,21.41197491
1994,0.0133,0.0425,-0.0804,0.0778,-0.0097,0.0252,-0.0217,0.0317,0.026,0.0625025,14.89,20.21911942
1995,0.372,0.0549,0.2348,0.0565,0.2129,0.0179,0.0098,0.1527,0.028,0.048374,18.08,24.76246519
1996,0.2268,0.0501,0.0143,0.0658,0.0342,0.0243,-0.0459,0.3527,0.029,0.0567261,19.53,28.33287013
1997,0.331,0.0506,0.0994,0.0554,0.1275,0.0402,-0.2141,0.2026,0.023,0.0624826,24.29,32.85996842
1998,0.2834,0.0478,0.1492,0.0472,0.0763,0.0644,-0.0083,-0.175,0.016,0.0565738,32.92,40.57695768
1999,0.2089,0.0464,-0.0825,0.0666,0.0091,0.0768,0.0085,-0.0462,0.022,0.0627128,29.04,43.77257815
2000,-0.0903,0.0582,0.1666,0.0516,0.0939,0.0929,-0.0544,0.2637,0.034,0.0643515,27.55,36.978868
2001,-0.1185,0.034,0.0557,0.0504,0.0854,0.0668,0.0075,0.1393,0.028,0.0322874,46.17,30.27720443
2002,-0.2197,0.0161,0.1512,0.0405,0.1214,0.0956,0.2557,0.0382,0.016,0.0328087,31.43,22.89834858
2003,0.2836,0.0101,0.0038,0.0415,0.1232,0.0981,0.1989,0.3713,0.023,0.0482511,22.73,27.65854036
2004,0.1074,0.0137,0.0449,0.0422,0.1035,0.1364,0.0465,0.3158,0.027,0.0664033,19.99,26.5872507
2005,0.0483,0.0315,0.0287,0.0442,0.053,0.1351,0.1777,0.1216,0.034,0.0672823,18.07,26.46870263
2006,0.1561,0.0473,0.0196,0.0476,0.052,0.0173,0.232,0.3506,0.032,0.0595425,17.36,27.20753666
2007,0.0548,0.0436,0.1021,0.0374,0.0484,-0.054,0.3192,-0.1569,0.029,0.0476741,21.46,24.02231776
2008,-0.3655,0.0137,0.201,0.0252,-0.0354,-0.12,0.0432,-0.3773,0.038,0.0204249,70.91,15.17465194
2009,0.2594,0.0015,-0.1112,0.0373,0.2021,-0.0386,0.2504,0.2799,-0.004,-0.0197561,20.7,20.5278598
2010,0.1482,0.0014,0.0846,0.0339,0.0941,-0.0411,0.2924,0.2795,0.016,0.0394323,16.3,22.97829943
2011,0.021,0.0005,0.1604,0.0197,0.1226,-0.0389,0.1202,0.0828,0.032,0.0365979,14.87,21.21300809
2012,0.1589,0.0009,0.0297,0.0191,0.0933,0.0644,0.0568,0.197,0.021,0.0419391,17.03,21.90047541
2013,0.3215,0.0006,-0.091,0.0286,-0.0098,0.1071,-0.2761,0.0286,0.015,0.0385575,18.15,24.85960909
2014,0.1352,0.0003,0.1075,0.0188,0.1078,0.0451,0.0012,0.2803,0.016,0.0430939,20.02,26.49229542
2015,0.0138,0.0005,0.0128,0.0209,-0.015,0.052,-0.1211,0.0283,0.001,0.0390093,22.18,24.2061672
2016,0.1177,0.0032,0.0069,0.0243,0.1152,0.053,0.081,0.0863,0.013,0.0278706,23.59,28.06357374
2017,0.2161,0.0093,0.028,0.0258,0.0923,0.0621,0.1266,0.0867,0.021,0.0429244,24.97,33.30734383
2018,-0.0423,0.0194,-0.0002,0.0271,-0.0327,0.0452,-0.0093,-0.0404,0.024,0.0532535,19.6,28.38016446
2019,0.3121,0.0206,0.0964,0.0176,0.1525,0.0369,0.1908,0.2866,0.018,0.0418695,24.88,30.9852203
2020,0.1802,0.0035,0.1133,0.0108,0.106,0.1043,0.2417,-0.0512,0.012,-0.0092208,35.96,34.51243229
2021,0.2847,0.0005,-0.0442,0.0176,0.0093,0.1887,-0.0375,0.413,0.047,0.1065088,23.11,36.93675807
2022,-0.1804,0.0202,-0.1783,0.0353,-0.1514,0.0567,0.0055,-0.2495,0.08,0.091128,22.82,28.33481342
2023,0.2606,0.0507,0.0388,0.0406,0.0874,0.0629,0.1326,0.1136,0.041,0.0626273,26.08,32.19
